success,trial_type,trial_index,time_elapsed,internal_node_id
true,fullscreen,0,6241,0.0-0.0
,survey-html-form,1,11351,0.0-1.0
,html-keyboard-response,2,12430,0.0-2.0
,audio-keyboard-response,3,13056,0.0-3.0-0.0
,html-keyboard-response,4,13299,0.0-3.0-1.0
,audio-keyboard-response,5,13586,0.0-4.0-0.0
,instruc9,6,15591,0.0-5.0-0.0
,html-keyboard-response,7,15934,0.0-5.0-1.0
,instruc11,8,17941,0.0-5.0-2.0
,html-keyboard-response,9,18266,0.0-5.0-3.0
,instruc12,10,20269,0.0-5.0-4.0
,html-keyboard-response,11,20618,0.0-5.0-5.0
,instruc13,12,22627,0.0-5.0-6.0
,html-keyboard-response,13,22989,0.0-5.0-7.0
,do_welcome,14,26997,0.0-5.0-8.0
,do_trial,15,28428,0.0-5.0-9.0
,html-keyboard-response,16,29432,0.0-6.0-0.0
,do_trial,17,30660,0.0-6.0-1.0
,html-keyboard-response,18,31670,0.0-7.0-0.0
,do_trial,19,32691,0.0-7.0-1.0
,html-keyboard-response,20,33705,0.0-8.0-0.0
,do_trial,21,34671,0.0-8.0-1.0
,html-keyboard-response,22,35681,0.0-9.0-0.0
,do_trial,23,36789,0.0-9.0-1.0
,do_bye,24,38301,0.0-10.0-0.0
,do_travel,25,47314,0.0-10.0-1.0
,do_welcome,26,51332,0.0-10.0-2.0
,do_trial,27,52840,0.0-10.0-3.0
,html-keyboard-response,28,53845,0.0-11.0-0.0
,do_trial,29,54973,0.0-11.0-1.0
,html-keyboard-response,30,55978,0.0-12.0-0.0
,do_trial,31,56887,0.0-12.0-1.0
,html-keyboard-response,32,57907,0.0-13.0-0.0
,do_trial,33,59008,0.0-13.0-1.0
,html-keyboard-response,34,60021,0.0-14.0-0.0
,do_trial,35,61110,0.0-14.0-1.0
,html-keyboard-response,36,62110,0.0-15.0-0.0
,html-keyboard-response,37,62594,0.0-16.0-0.0
,quiz_beginning,38,64597,0.0-16.0-1.0
,html-keyboard-response,39,65698,0.0-16.0-2.0
,correct,40,67706,0.0-17.0-0.0
,html-keyboard-response,41,68262,0.0-17.0-1.0
,html-keyboard-response,42,68651,0.0-17.0-2.0
,correct,43,70656,0.0-18.0-0.0
,html-keyboard-response,44,70924,0.0-18.0-1.0
,html-keyboard-response,45,71163,0.0-18.0-2.0
,correct,46,73170,0.0-19.0-0.0
,html-keyboard-response,47,73874,0.0-19.0-1.0
,html-keyboard-response,48,74168,0.0-19.0-2.0
,correct,49,76177,0.0-20.0-0.0
,html-keyboard-response,50,76633,0.0-20.0-1.0
,q_all_corr,51,78639,0.0-21.0-0.0
,html-keyboard-response,52,78916,0.0-21.0-1.0
,do_welcome,53,82940,0.0-22.0-0.0
,do_trial,54,84539,0.0-23.0-0.0
,html-keyboard-response,55,85544,0.0-23.0-1.0
,do_trial,56,86717,0.0-24.0-0.0
,html-keyboard-response,57,87721,0.0-24.0-1.0
,do_trial,58,88796,0.0-25.0-0.0
,html-keyboard-response,59,89799,0.0-25.0-1.0
,attention_check,60,90094,0.0-26.0-0.0
,do_bye,61,91611,0.0-26.0-1.0
,break,62,92959,0.0-26.0-2.0
,do_travel,63,101962,0.0-27.0-0.0
,do_welcome,64,105973,0.0-27.0-1.0
,do_trial,65,109986,0.0-28.0-0.0
,html-keyboard-response,66,110996,0.0-28.0-1.0
,do_trial,67,112208,0.0-29.0-0.0
,html-keyboard-response,68,113215,0.0-29.0-1.0
,do_trial,69,114326,0.0-30.0-0.0
,html-keyboard-response,70,115334,0.0-30.0-1.0
,attention_check,71,115774,0.0-31.0-0.0
,do_bye,72,117281,0.0-31.0-1.0
,break,73,119455,0.0-31.0-2.0
,do_travel,74,128462,0.0-32.0-0.0
