"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response"
"true","fullscreen","0","2577","0.0-0.0","","","","",""
"","pavlovia","1","2591","0.0-1.0","","","","",""
"","html-keyboard-response","2","16410","0.0-2.0","13814.199999928474","<div class='center'><p>Welcome! This is the first day of the experiment which will last ~30 minutes. In this experiment, you are the head captain of a pirate ship traveling around the world to different places. You will complete several different tasks during this experiment. Here is an overview of these tasks:</p><br><p>Day 1</p><p>1. Tutorial and quiz</p><p>2. Pick a pirate game in 6 different places</p><br><p>Day 2</p><p>3. Pick a pirate game and memory game</p><p>4. Final questions and payment</p><br><p>If you complete the entire experiment, you will receive $15 and a possible bonus payment.</p><p><b>[Press the space bar to begin the tutorial]</b></p></div>","32","610050b6632452bbe365315c",""
"","html-keyboard-response","3","27462","0.0-3.0","11048.200000047684","<div class='center'><p>You are the head captain of a pirate ship.</p><p> Your pirates rob other ships as they leave the marketplace port.</p> These ships have just sold all their goods at the marketplace, so they have lots and lots of gold on them.</p><p><img src='run_exp/static/images/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>","32","",""
"","html-keyboard-response","4","39323","0.0-4.0","11857.699999928474","<div class='center'><p>As the head captain, you do not have to rob any ships yourself.</p><p>You get to choose which pirate you want to rob the next ship. </p><p>If they are successful at robbing the ship, then you will get gold coins.</p><p> If they are not successful, then you will get no gold coins.</p><p> The more coins you collect, the more bonus money you will win. So, choose your pirate wisely.</p><p><img src='run_exp/static/images/goal.png' height='400'></p><p><b>[Press the space bar to continue]</b></p><div>","32","",""
"","html-keyboard-response","5","54537","0.0-5.0","15211.900000095367","<div class='center'><p>Even the most skilled pirate will not be able to rob EVERY ship.</p><p> Some ships will have very strong defenses against attacks.</p><p> For example, blue beard, here,  is very good at robbing ships.</p><p> You can press the <b>‘1’</b> button on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he is successful at robbing ships. </p><p><img src='run_exp/static/images/blue.png' height='500'></p></div>","49","",""
"","html-keyboard-response","6","56040","0.0-6.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","7","57685","0.0-7.0","1642.8000000715256","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
"","html-keyboard-response","8","59188","0.0-8.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","9","60267","0.0-9.0","1076.6999999284744","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
"","html-keyboard-response","10","61770","0.0-10.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","11","62091","0.0-11.0","318.39999997615814","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
