success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,response,choice_outcomes,context_n,context_img_id,trial_n,probe_img_id,pR_red,pR_white,pR_black,outcome,is_valid,image_to_show,probed_trial,probed_context,correct,context_id
TRUE,fullscreen,0,6104,0.0-0.0,,,,,,,,,,,,,,,,,,,,
,pavlovia,1,6108,0.0-1.0,,,,,,,,,,,,,,,,,,,,
,html-keyboard-response,2,24133,0.0-2.0,18023.345,"<div class='center'><p>Welcome! This experiment will last ~1 hour. In this experiment, you are the head captain of a pirate ship traveling around the world to different places. You will complete several different tasks during this experiment. Here is an overview of these tasks:</p><br><p>1. Tutorial and quiz</p><p>2. Pick a pirate game in 6 different places</p><p>3. Pick a pirate game and memory game</p><p>4. Final questions and payment</p><br><p>If you complete the entire experiment, you will receive $15 and a possible bonus payment.</p><p><b>[Press the space bar to begin the tutorial]</b></p></div>",32,614108f77f02135189a295ec,,,,,,,,,,,,,,,,
,html-keyboard-response,3,59067,0.0-3.0,34933.475,"<div class='center'><p>You are the head captain of a pirate ship.</p><p> Your pirates rob other ships as they leave the marketplace port.</p> These ships have just sold all their goods at the marketplace, so they have lots and lots of gold on them.</p><p><img src='run_exp/static/images/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>",32,,,,,,,,,,,,,,,,,
,html-keyboard-response,4,84278,0.0-4.0,25209.475,"<div class='center'><p>As the head captain, you do not have to rob any ships yourself.</p><p>You get to choose which pirate you want to rob the next ship. </p><p>If they are successful at robbing the ship, then you will get gold coins.</p><p> If they are not successful, then you will get no gold coins.</p><p> The more coins you collect, the more bonus money you will win. So, choose your pirate wisely.</p><p><img src='run_exp/static/images/goal.png' height='400'></p><p><b>[Press the space bar to continue]</b></p><div>",32,,,,,,,,,,,,,,,,,
,html-keyboard-response,5,103290,0.0-5.0,19010.825,"<div class='center'><p>Even the most skilled pirate will not be able to rob EVERY ship.</p><p> Some ships will have very strong defenses against attacks.</p><p> For example, blue beard, here,  is very good at robbing ships.</p><p> You can press the <b>‘1’</b> button on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he is successful at robbing ships. </p><p><img src='run_exp/static/images/blue.png' height='500'></p></div>",49,,,,,,,,,,,,,,,,,
,html-keyboard-response,6,104792,0.0-6.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,7,106698,0.0-7.0,1905.115,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,8,108199,0.0-8.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,9,109588,0.0-9.0,1388.03,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,10,111092,0.0-10.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,11,112053,0.0-11.0,959.8050001,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,12,113559,0.0-12.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_no_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,13,114278,0.0-13.0,717.6349999,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,14,115784,0.0-14.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,15,116387,0.0-15.0,602.6899999,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,16,117894,0.0-16.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,17,118292,0.0-17.0,397.9499999,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,18,119796,0.0-18.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,19,120300,0.0-19.0,502.8949999,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,20,121802,0.0-20.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_no_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,21,122194,0.0-21.0,391.0300001,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,22,123701,0.0-22.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,23,124028,0.0-23.0,325.98,<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,24,125534,0.0-24.0,null,<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>,null,,,,,,,,,,,,,,,,,
,html-keyboard-response,25,130462,0.0-25.0,4927.315,"<div class='center'><p> See, he was successful at robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>",32,,,,,,,,,,,,,,,,,
,html-keyboard-response,26,142007,0.0-26.0,11544.42,"<div class='center'><p>In the game, you will get to choose which of three pirates you want to rob the next ship. <p>Press the <b>‘1’</b> button on your keyboard to pick the pirate with the red beard.</p><p> Press <b>‘2’</b> to pick the pirate with the white beard.</p><p> Press <b>‘3’</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>",51,,,,,,,,,,,,,,,,,
,html-keyboard-response,27,144982,0.0-27.0-0.0,2973.45,<div class='center'><p>This pirate was successful at robbing the ship!</p><p><img src='run_exp/static/images/black_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,
,html-keyboard-response,28,147537,0.0-27.0-1.0,2553.58,<div class='center'><p>Now try choosing another</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>,49,,,,,,,,,,,,,,,,,
,html-keyboard-response,29,148847,0.0-28.0-0.0,1309.605,<div class='center'><p>This pirate was not successful at robbing the ship!</p><p><img src='run_exp/static/images/red_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,,,,,,,,,,
