"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response"
"true","fullscreen","0","5408","0.0-0.0","","","","",""
"","pavlovia","1","5411","0.0-1.0","","","","",""
"","html-keyboard-response","2","22176","0.0-2.0","16765","<div class='center'><p>Welcome! This is the first day of the experiment which will last ~30 minutes. In this experiment, you are the head captain of a pirate ship traveling around the world to different places. You will complete several different tasks during this experiment. Here is an overview of these tasks:</p><br><p>Day 1</p><p>1. Tutorial and quiz</p><p>2. Pick a pirate game in 6 different places</p><br><p>Day 2</p><p>3. Pick a pirate game and memory game</p><p>4. Final questions and payment</p><br><p>If you complete the entire experiment, you will receive $15 and a possible bonus payment.</p><p><b>[Press the space bar to begin the tutorial]</b></p></div>","32","5d6ab68809f9270001dac666",""
"","html-keyboard-response","3","30056","0.0-3.0","7878.399999976158","<div class='center'><p>You are the head captain of a pirate ship.</p><p> Your pirates rob other ships as they leave the marketplace port.</p> These ships have just sold all their goods at the marketplace, so they have lots and lots of gold on them.</p><p><img src='run_exp/static/images/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>","32","",""
"","html-keyboard-response","4","44136","0.0-4.0","14079.599999964237","<div class='center'><p>As the head captain, you do not have to rob any ships yourself.</p><p>You get to choose which pirate you want to rob the next ship. </p><p>If they are successful at robbing the ship, then you will get gold coins.</p><p> If they are not successful, then you will get no gold coins.</p><p> The more coins you collect, the more bonus money you will win. So, choose your pirate wisely.</p><p><img src='run_exp/static/images/goal.png' height='400'></p><p><b>[Press the space bar to continue]</b></p><div>","32","",""
"","html-keyboard-response","5","56208","0.0-5.0","12071.199999988079","<div class='center'><p>Even the most skilled pirate will not be able to rob EVERY ship.</p><p> Some ships will have very strong defenses against attacks.</p><p> For example, blue beard, here,  is very good at robbing ships.</p><p> You can press the <b>‘1’</b> button on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he is successful at robbing ships. </p><p><img src='run_exp/static/images/blue.png' height='500'></p></div>","49","",""
"","html-keyboard-response","6","57709","0.0-6.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","7","58872","0.0-7.0","1162.5","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
"","html-keyboard-response","8","60373","0.0-8.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","9","61079","0.0-9.0","705.5999999642372","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
"","html-keyboard-response","10","62581","0.0-10.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_win.png' height='500'></p>","null","",""
"","html-keyboard-response","11","63103","0.0-11.0","521.5","<br><br><br><br><p><img src='run_exp/static/images/blue.png' height='500'></p>","49","",""
"","html-keyboard-response","12","64605","0.0-12.0","null","<br><br><br><br><p><img src='run_exp/static/images/blue_no_win.png' height='500'></p>","null","",""
